,depth,qt,fs
122,6.4008,23183.6213983581,258.55339849470005
123,6.449568,19937.3398394802,95.760517961
124,6.501384,17495.4466314747,86.18446616490002
125,6.550152,15139.7378896341,57.456310776600006
126,6.59892,14009.7637776943,57.456310776600006
127,6.650736,14153.404554635805,95.760517961
128,6.699504,11807.2718645913,67.0323625727
129,6.75132,11845.576071775702,47.8802589805
130,6.800088,11022.0356173111,57.456310776600006
131,6.848856,11031.611669107202,76.6084143688
132,6.900672,11931.7605379406,76.6084143688
133,6.949440000000001,17016.6440416697,114.9126215532
134,7.001256,21392.899712487404,172.36893232980003
135,7.050024,19908.611684091906,105.3365697571
136,7.10184,21402.475764283503,162.7928805337
137,7.150608000000001,23068.7087768049,277.7055020869
138,7.199376000000001,25405.265415053305,363.8899682518
